Sat 30 Aug 2025 04:52:44 BST|1917|266|4
Sat 30 Aug 2025 05:22:18 BST|1917|266|4
Sat 30 Aug 2025 05:28:58 BST|1917|266|4
Sat 30 Aug 2025 05:35:39 BST|1917|266|4
Sat 30 Aug 2025 05:46:10 BST|1917|266|4
Sat 30 Aug 2025 12:12:09 BST|1917|266|4
Sat 30 Aug 2025 15:50:26 BST|1917|266|4
Sat 30 Aug 2025 15:57:02 BST|1924|269|6
Sat 30 Aug 2025 16:07:55 BST|1919|268|5
Sat 30 Aug 2025 16:58:08 BST|1981|281|6
Sat 30 Aug 2025 17:12:23 BST|2000|281|6
Sat 30 Aug 2025 17:13:30 BST|||0
Sat 30 Aug 2025 17:54:38 BST|382|1025|6
Sat 30 Aug 2025 18:39:55 BST|529|1065|8
Sat 30 Aug 2025 18:40:53 BST|551|1064|8
Sat 30 Aug 2025 20:39:07 BST|912|16842|57
Sat 30 Aug 2025 20:39:23 BST|984|16842|57
Sat 30 Aug 2025 21:08:48 BST|172|16832|58
Sat 30 Aug 2025 21:46:36 BST|4215|16866|62
Sat 30 Aug 2025 22:19:29 BST|994|16986|63
Sat 30 Aug 2025 22:45:07 BST|1272|16986|63
Sat 30 Aug 2025 23:26:44 BST|1656|21686|64
Sat 30 Aug 2025 23:52:54 BST|1735|16986|63
Sun 31 Aug 2025 00:37:03 BST|2101|17030|64
Sun 31 Aug 2025 01:35:19 BST|2887|19350|66
Sun 31 Aug 2025 02:28:30 BST|4473|11526|65
Sun 31 Aug 2025 05:05:21 BST|4620|12094|68
